textPayload,insertId,resource.type,resource.labels.location,resource.labels.service_name,resource.labels.project_id,resource.labels.revision_name,resource.labels.configuration_name,timestamp,labels.instanceId,logName,receiveTimestamp,httpRequest.requestMethod,httpRequest.requestUrl,httpRequest.requestSize,httpRequest.status,httpRequest.responseSize,httpRequest.userAgent,httpRequest.remoteIp,httpRequest.serverIp,httpRequest.latency,httpRequest.protocol,severity,trace
? ? ? ? BFN Web API (Kotlin) started ? ? ? ? ?? isRunning: true ??,5e318b3f0005e498a75cb221,cloud_run_revision,europe-west1,bfnwebinvestor,bfn-mobile-backend,bfnwebinvestor-00004-xug,bfnwebinvestor,2020-01-29T13:40:15.386200Z,00bf4bf02d29e83b514ccb2fd7851ccc7884ce4042e7df82fadade231b227a821fadbac7956b370b2cbe2a1a894432f7cb92d96e1964ed042344a45b86,projects/bfn-mobile-backend/logs/run.googleapis.com%2Fstdout,2020-01-29T13:40:15.574806899Z,,,,,,,,,,,,
"INFO: ? ? ? WE ARE DONE STARTING UP!!! ? ? ? ? ",5e318b3e000f0cfa67762a3b,cloud_run_revision,europe-west1,bfnwebinvestor,bfn-mobile-backend,bfnwebinvestor-00004-xug,bfnwebinvestor,2020-01-29T13:40:14.986362Z,00bf4bf02d29e83b514ccb2fd7851ccc7884ce4042e7df82fadade231b227a821fadbac7956b370b2cbe2a1a894432f7cb92d96e1964ed042344a45b86,projects/bfn-mobile-backend/logs/run.googleapis.com%2Fstderr,2020-01-29T13:40:15.032449542Z,,,,,,,,,,,,
"Jan 29, 2020 1:40:14 PM com.bfn.client.web.ApiApp onApplicationEvent",5e318b3e000f0cdd69a65a40,cloud_run_revision,europe-west1,bfnwebinvestor,bfn-mobile-backend,bfnwebinvestor-00004-xug,bfnwebinvestor,2020-01-29T13:40:14.986333Z,00bf4bf02d29e83b514ccb2fd7851ccc7884ce4042e7df82fadade231b227a821fadbac7956b370b2cbe2a1a894432f7cb92d96e1964ed042344a45b86,projects/bfn-mobile-backend/logs/run.googleapis.com%2Fstderr,2020-01-29T13:40:15.032449542Z,,,,,,,,,,,,
INFO: ? ? ? host: ? ? ? ? localhost/127.0.0.1 profile: prod ?,5e318b3e000a7a2f0f690234,cloud_run_revision,europe-west1,bfnwebinvestor,bfn-mobile-backend,bfnwebinvestor-00004-xug,bfnwebinvestor,2020-01-29T13:40:14.686639Z,00bf4bf02d29e83b514ccb2fd7851ccc7884ce4042e7df82fadade231b227a821fadbac7956b370b2cbe2a1a894432f7cb92d96e1964ed042344a45b86,projects/bfn-mobile-backend/logs/run.googleapis.com%2Fstderr,2020-01-29T13:40:15.032449542Z,,,,,,,,,,,,
"Jan 29, 2020 1:40:14 PM com.bfn.client.web.ApiApp onApplicationEvent",5e318b3e000a7a09cb6e3e05,cloud_run_revision,europe-west1,bfnwebinvestor,bfn-mobile-backend,bfnwebinvestor-00004-xug,bfnwebinvestor,2020-01-29T13:40:14.686601Z,00bf4bf02d29e83b514ccb2fd7851ccc7884ce4042e7df82fadade231b227a821fadbac7956b370b2cbe2a1a894432f7cb92d96e1964ed042344a45b86,projects/bfn-mobile-backend/logs/run.googleapis.com%2Fstderr,2020-01-29T13:40:15.032449542Z,,,,,,,,,,,,
"INFO: ? ? ?  STARTED BFN WEB APP:  ? onApplicationEvent: mainApplicationClass: ? class com.bfn.client.web.ServerKt  ? ",5e318b3e000a78cd941d67bb,cloud_run_revision,europe-west1,bfnwebinvestor,bfn-mobile-backend,bfnwebinvestor-00004-xug,bfnwebinvestor,2020-01-29T13:40:14.686285Z,00bf4bf02d29e83b514ccb2fd7851ccc7884ce4042e7df82fadade231b227a821fadbac7956b370b2cbe2a1a894432f7cb92d96e1964ed042344a45b86,projects/bfn-mobile-backend/logs/run.googleapis.com%2Fstderr,2020-01-29T13:40:14.692106556Z,,,,,,,,,,,,
"Jan 29, 2020 1:40:14 PM com.bfn.client.web.ApiApp onApplicationEvent",5e318b3e000a78a1422a8063,cloud_run_revision,europe-west1,bfnwebinvestor,bfn-mobile-backend,bfnwebinvestor-00004-xug,bfnwebinvestor,2020-01-29T13:40:14.686241Z,00bf4bf02d29e83b514ccb2fd7851ccc7884ce4042e7df82fadade231b227a821fadbac7956b370b2cbe2a1a894432f7cb92d96e1964ed042344a45b86,projects/bfn-mobile-backend/logs/run.googleapis.com%2Fstderr,2020-01-29T13:40:14.692106556Z,,,,,,,,,,,,
[m?  CommandLineRunner ? ? ? shit is gonna happen here,5e318b3d000a7912e17f7edc,cloud_run_revision,europe-west1,bfnwebinvestor,bfn-mobile-backend,bfnwebinvestor-00004-xug,bfnwebinvestor,2020-01-29T13:40:13.686354Z,00bf4bf02d29e83b514ccb2fd7851ccc7884ce4042e7df82fadade231b227a821fadbac7956b370b2cbe2a1a894432f7cb92d96e1964ed042344a45b86,projects/bfn-mobile-backend/logs/run.googleapis.com%2Fstdout,2020-01-29T13:40:13.912743552Z,,,,,,,,,,,,
"[m[37mI 13:40:12 1 MyWebServerStartedListener.onApplicationEvent - ? ? ?  onApplicationEvent: ApplicationStartedEvent: ??  ??  ? ApplicationStartedEvent: [Ljava.lang.String;@38b27cdc ? ??  ?? Doin nuthin at this time  ? ",5e318b3c000a78db66ae07c2,cloud_run_revision,europe-west1,bfnwebinvestor,bfn-mobile-backend,bfnwebinvestor-00004-xug,bfnwebinvestor,2020-01-29T13:40:12.686299Z,00bf4bf02d29e83b514ccb2fd7851ccc7884ce4042e7df82fadade231b227a821fadbac7956b370b2cbe2a1a894432f7cb92d96e1964ed042344a45b86,projects/bfn-mobile-backend/logs/run.googleapis.com%2Fstdout,2020-01-29T13:40:12.910704796Z,,,,,,,,,,,,
[m[37mI 13:40:11 1 ServerKt.logStarted - Started ServerKt in 68.999 seconds (JVM running for 73.207),5e318b3b000f0d49ff768329,cloud_run_revision,europe-west1,bfnwebinvestor,bfn-mobile-backend,bfnwebinvestor-00004-xug,bfnwebinvestor,2020-01-29T13:40:11.986441Z,00bf4bf02d29e83b514ccb2fd7851ccc7884ce4042e7df82fadade231b227a821fadbac7956b370b2cbe2a1a894432f7cb92d96e1964ed042344a45b86,projects/bfn-mobile-backend/logs/run.googleapis.com%2Fstdout,2020-01-29T13:40:12.240284848Z,,,,,,,,,,,,
